,,,,,,,,,,,
Propofol,mode,Manual,time(sec),bolus(mg),infusion(mg/hr),Conc blood(C1),Conc C2,Conc C3,Conc effect,Target,BIS
,,,1175,0,802,3410.973499,2833.319332,332.513352,3325.601047,0,44.1
,,,1180,0,802,3412.457594,2836.559641,333.558109,3326.582114,0,44.1
,,,1185,0,802,3413.937792,2839.7901,334.603014,3327.568873,0,44.1
,,,1190,0,802,3415.414104,2843.010744,335.648067,3328.561249,0,44.1
,,,1195,0,802,3416.886545,2846.221604,336.693265,3329.559121,0,44.1
,,,1200,0,802,3418.355126,2849.422714,337.738607,3330.562374,0,44.1
,,,1205,0,802,3419.819861,2852.614108,338.784092,3331.570902,0,44.1
,,,1210,0,802,3421.280762,2855.795817,339.829719,3332.584591,0,44.1
,,,1215,0,802,3422.737842,2858.967876,340.875486,3333.603376,0,44.1
,,,1220,0,802,3424.191113,2862.130316,341.921392,3334.627124,0,44
,,,1225,0,802,3425.640589,2865.283171,342.967435,3335.655747,0,44
,,,1230,0,802,3427.086281,2868.426472,344.013615,3336.689143,0,44
,,,1235,0,802,3428.528202,2871.560252,345.05993,3337.727197,0,44
,,,1240,0,802,3429.966364,2874.684544,346.106378,3338.769846,0,44
,,,1245,0,802,3431.400781,2877.799379,347.152959,3339.816981,0,44
,,,1250,0,802,3432.831465,2880.904789,348.19967,3340.868512,0,44
,,,1255,0,802,3434.258427,2884.000807,349.246512,3341.924333,0,44
,,,1260,0,802,3435.68168,2887.087464,350.293481,3342.984346,0,44
,,,1265,0,802,3437.101238,2890.164792,351.340578,3344.048493,0,44
,,,1270,0,802,3438.517111,2893.232823,352.3878,3345.116674,0,43.9
,,,1275,0,802,3439.929312,2896.291587,353.435147,3346.188791,0,43.9
,,,1280,0,802,3441.337853,2899.341117,354.482617,3347.264755,0,43.9
,,,1285,0,802,3442.742748,2902.381443,355.530208,3348.344476,0,43.9
,,,1290,0,802,3444.144006,2905.412597,356.577921,3349.427902,0,43.9
,,,1295,0,802,3445.541642,2908.43461,357.625753,3350.514924,0,43.9
,,,1300,0,802,3446.935666,2911.447512,358.673703,3351.605459,0,43.9
,,,1305,0,802,3448.326091,2914.451336,359.721769,3352.699436,0,43.9
,,,1310,0,802,3449.712929,2917.44611,360.769951,3353.796751,0,43.9
,,,1315,0,802,3451.096192,2920.431867,361.818248,3354.897366,0,43.8
,,,1320,0,802,3452.475891,2923.408636,362.866658,3356.001177,0,43.8
,,,1325,0,802,3453.852039,2926.376448,363.915179,3357.108106,0,43.8
,,,1330,0,802,3455.224648,2929.335333,364.963811,3358.218071,0,43.8
,,,1335,0,802,3456.593728,2932.285322,366.012552,3359.331024,0,43.8
,,,1340,0,802,3457.959293,2935.226444,367.061401,3360.446875,0,43.8
,,,1345,0,802,3459.321353,2938.158729,368.110358,3361.565546,0,43.8
,,,1350,0,802,3460.679921,2941.082209,369.159419,3362.686973,0,43.8
,,,1355,0,802,3462.035007,2943.996911,370.208586,3363.81107,0,43.8
,,,1360,0,802,3463.386624,2946.902867,371.257855,3364.937791,0,43.7
,,,1365,0,802,3464.734783,2949.800104,372.307227,3366.067052,0,43.7
,,,1370,0,802,3466.079496,2952.688655,373.356699,3367.198793,0,43.7
,,,1375,0,802,3467.420774,2955.568546,374.406271,3368.332936,0,43.7
,,,1380,0,802,3468.758628,2958.439808,375.455941,3369.469404,0,43.7
,,,1385,0,802,3470.093071,2961.30247,376.505709,3370.608161,0,43.7
,,,1390,0,802,3471.424113,2964.156562,377.555572,3371.74913,0,43.7
,,,1395,0,802,3472.751766,2967.002111,378.60553,3372.892245,0,43.7
,,,1400,0,802,3474.07604,2969.839147,379.655582,3374.037443,0,43.7
,,,1405,0,802,3475.396948,2972.667699,380.705727,3375.184648,0,43.6
,,,1410,0,802,3476.714501,2975.487796,381.755962,3376.333826,0,43.6
,,,1415,0,802,3478.028709,2978.299465,382.806288,3377.484902,0,43.6
,,,1420,0,802,3479.339584,2981.102736,383.856703,3378.637818,0,43.6
,,,1425,0,802,3480.647137,2983.897637,384.907206,3379.792516,0,43.6
,,,1430,0,802,3481.951379,2986.684196,385.957795,3380.948923,0,43.6
,,,1435,0,802,3483.252321,2989.462442,387.00847,3382.107006,0,43.6
,,,1440,0,802,3484.549974,2992.232402,388.059229,3383.2667,0,43.6
,,,1445,0,802,3485.844349,2994.994105,389.110071,3384.427945,0,43.5
,,,1450,0,802,3487.135457,2997.747579,390.160996,3385.59069,0,43.5
,,,1455,0,802,3488.423309,3000.492851,391.212001,3386.754869,0,43.5
,,,1460,0,802,3489.707915,3003.229949,392.263086,3387.920446,0,43.5
,,,1465,0,802,3490.989287,3005.958901,393.31425,3389.087361,0,43.5
,,,1470,0,802,3492.267435,3008.679734,394.365492,3390.255561,0,43.5
,,,1475,0,802,3493.54237,3011.392475,395.416809,3391.424997,0,43.5
,,,1480,0,802,3494.814103,3014.097153,396.468203,3392.595606,0,43.5
,,,1485,0,802,3496.082645,3016.793795,397.51967,3393.76736,0,43.5
,,,1490,0,802,3497.348005,3019.482427,398.571211,3394.940196,0,43.4
,,,1495,0,802,3498.610195,3022.163076,399.622823,3396.114069,0,43.4
,,,1500,0,802,3499.869225,3024.83577,400.674507,3397.288922,0,43.4
,,,1505,0,802,3501.125105,3027.500536,401.72626,3398.464724,0,43.4
,,,1510,0,802,3502.377847,3030.1574,402.778082,3399.641421,0,43.4
,,,1515,0,802,3503.627461,3032.806389,403.829972,3400.818964,0,43.4
,,,1520,0,802,3504.873956,3035.44753,404.881928,3401.997312,0,43.4
,,,1525,0,802,3506.117344,3038.080848,405.933949,3403.176409,0,43.4
,,,1530,0,802,3507.357635,3040.706372,406.986035,3404.356233,0,43.3
,,,1535,0,802,3508.594839,3043.324126,408.038185,3405.536725,0,43.3
,,,1540,0,802,3509.828966,3045.934138,409.090397,3406.717845,0,43.3
,,,1545,0,802,3511.060027,3048.536433,410.142669,3407.899552,0,43.3
,,,1550,0,802,3512.288031,3051.131037,411.195002,3409.081795,0,43.3
,,,1555,0,802,3513.51299,3053.717978,412.247395,3410.264551,0,43.3
,,,1560,0,802,3514.734912,3056.297279,413.299845,3411.447771,0,43.3
,,,1565,0,802,3515.953809,3058.868967,414.352352,3412.631416,0,43.3
,,,1570,0,802,3517.16969,3061.433069,415.404915,3413.815444,0,43.3
,,,1575,0,802,3518.382565,3063.989609,416.457533,3414.999808,0,43.2
,,,1580,0,802,3519.592445,3066.538613,417.510205,3416.184488,0,43.2
,,,1585,0,802,3520.799339,3069.080107,418.562929,3417.36944,0,43.2
,,,1590,0,802,3522.003257,3071.614115,419.615706,3418.554625,0,43.2
,,,1595,0,802,3523.20421,3074.140664,420.668533,3419.740006,0,43.2
,,,1600,0,802,3524.402206,3076.659779,421.72141,3420.925538,0,43.2
,,,1605,0,802,3525.597256,3079.171483,422.774336,3422.111203,0,43.2
,,,1610,0,802,3526.789369,3081.675804,423.827309,3423.296962,0,43.2
,,,1615,0,802,3527.978556,3084.172765,424.88033,3424.482773,0,43.1
,,,1620,0,802,3529.164826,3086.662391,425.933396,3425.668606,0,43.1
,,,1625,0,802,3530.348189,3089.144708,426.986506,3426.854421,0,43.1
,,,1630,0,802,3531.528655,3091.619739,428.03966,3428.040197,0,43.1
,,,1635,0,802,3532.706232,3094.08751,429.092857,3429.225898,0,43.1
,,,1640,0,802,3533.880931,3096.548044,430.146096,3430.41149,0,43.1
,,,1645,0,802,3535.052761,3099.001368,431.199376,3431.596935,0,43.1
,,,1650,0,802,3536.221732,3101.447504,432.252695,3432.782213,0,43.1
,,,1655,0,802,3537.387854,3103.886477,433.306053,3433.967291,0,43.1
,,,1660,0,802,3538.551135,3106.318311,434.359449,3435.152137,0,43
,,,1665,0,802,3539.711585,3108.743031,435.412881,3436.33672,0,43
,,,1670,0,802,3540.869214,3111.16066,436.466349,3437.521005,0,43
,,,1675,0,802,3542.02403,3113.571222,437.519853,3438.704978,0,43
,,,1680,0,802,3543.176045,3115.974742,438.57339,3439.888602,0,43
,,,1685,0,802,3544.325265,3118.371242,439.62696,3441.071851,0,43
,,,1690,0,802,3545.471702,3120.760747,440.680562,3442.254696,0,43
,,,1695,0,802,3546.615363,3123.143281,441.734195,3443.437104,0,43
,,,1700,0,802,3547.756259,3125.518866,442.787858,3444.619061,0,42.9
,,,1705,0,802,3548.894399,3127.887526,443.84155,3445.800535,0,42.9
,,,1710,0,802,3550.029791,3130.249286,444.895271,3446.981498,0,42.9
